"Date","Titre","Sous-titre","Salle"
"2017-03-22 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2017-03-22 19:30:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-22 20:00:00","Club musical de QuébecDaniel Hope, violoniste","Hommage à Menuhin","Salle Louis-Fréchette"
"2017-03-23 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-24 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-25 16:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-26 14:30:00","L'Orchestre symphonique de QuébecPièces de maîtres","","Salle Louis-Fréchette"
"2017-03-28 20:00:00","Ballet BC","16+ a room, Solo Echo et Bill","Salle Louis-Fréchette"
"2017-03-29 19:30:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-30 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-31 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-04-01 16:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-04-02 15:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-04-05 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2017-04-05 20:00:00","BJM - Les Ballets Jazz de Montréal","Rouge, Mono Lisa et Kosmos","Salle Louis-Fréchette"
"2017-04-05 20:00:00","Bruno Pelletier","Regarde autour","Salle Octave-Crémazie"
"2017-04-07 20:00:00","Michel Louvain avec l'Orchestre symphonique de Québec"," 60 ans avec vous, 60 ans de bonheur ","Salle Louis-Fréchette"
"2017-04-08 14:00:00","Michel Louvain avec l'Orchestre symphonique de Québec"," 60 ans avec vous, 60 ans de bonheur ","Salle Louis-Fréchette"
"2017-04-10 20:00:00","Shay Kuebler Radical System Art","Glory",""
"2017-04-11 20:00:00","Shay Kuebler Radical System Art","Glory",""
"2017-04-13 19:30:00","L'Orchestre symphonique de QuébecLe Requiem de Mozart","","Salle Louis-Fréchette"
"2017-04-13 20:00:00","Tocadéo","Quatre","Salle Octave-Crémazie"
"2017-04-14 20:00:00","Tocadéo","Quatre","Salle Octave-Crémazie"
"2017-04-19 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2017-04-21 20:00:00","L'Orchestre symphonique de QuébecDancing Queen, hommage a ABBA","","Salle Louis-Fréchette"
"2017-04-22 20:00:00","L'Orchestre symphonique de QuébecDancing Queen, hommage a ABBA","","Salle Louis-Fréchette"
"2017-04-24 20:00:00","Club musical de QuébecRichard Goode, pianiste","La poésie au bout des doigts","Salle Louis-Fréchette"
"2017-04-25 19:30:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-04-26 19:30:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-04-26 20:00:00","L'Orchestre symphonique de QuébecTchaïkovski, Symphonie pathétique","","Salle Louis-Fréchette"
"2017-04-27 10:30:00","L'Orchestre symphonique de QuébecTchaïkovski, Symphonie pathétique","","Salle Louis-Fréchette"
"2017-04-27 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-04-27 20:00:00","Les Grands ExplorateursBella Italia","","Salle Louis-Fréchette"
"2017-04-28 20:00:00","Les Grands ExplorateursBella Italia","","Salle Louis-Fréchette"
"2017-04-28 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-04-29 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-04-29 20:00:00","Les Grands ExplorateursBella Italia","","Salle Louis-Fréchette"
"2017-04-30 14:00:00","Les Grands ExplorateursBella Italia","","Salle Louis-Fréchette"
"2017-05-02 19:30:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-03 19:30:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-04 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-05 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-06 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-07 15:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-09 19:30:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-10 19:30:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-11 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-12 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-13 16:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-13 19:00:00","L'Opéra de QuébecLe Barbier de Séville","de Gioachino Rossini","Salle Louis-Fréchette"
"2017-05-16 20:00:00","L'Opéra de QuébecLe Barbier de Séville","de Gioachino Rossini","Salle Louis-Fréchette"
"2017-05-17 19:30:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-18 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-18 20:00:00","L'Opéra de QuébecLe Barbier de Séville","de Gioachino Rossini","Salle Louis-Fréchette"
"2017-05-19 20:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-20 16:00:00","Le TridentVenir au monde","","Salle Octave-Crémazie"
"2017-05-20 20:00:00","L'Opéra de QuébecLe Barbier de Séville","de Gioachino Rossini","Salle Louis-Fréchette"
"2017-05-24 20:00:00","L'Orchestre symphonique de QuébecLe MNBAQ illustre la Symphonie alpestre","","Salle Louis-Fréchette"
"2017-05-24 20:00:00","Patrice Michaud","","Salle Octave-Crémazie"
"2017-05-25 10:30:00","L'Orchestre symphonique de QuébecLe MNBAQ illustre la Symphonie alpestre","","Salle Louis-Fréchette"
"2017-05-25 20:00:00","Patrice Michaud","","Salle Octave-Crémazie"
